Average of Ave_Profit-per_km,Column Labels,,
Row Labels,Pink Cab,Yellow Cab,Grand Total
2016,3.026813062,7.489847246,6.446854883
Qtr1,3.294266006,8.186653623,7.149173374
Qtr2,2.574913201,8.475494209,7.170689936
Qtr3,2.55617415,6.852383542,5.80079897
Qtr4,3.525226395,6.895948181,6.066915344
2017,2.962882664,7.494612461,6.425383769
Qtr1,3.108992146,8.336715832,7.212853593
Qtr2,2.405030317,8.50896095,7.15931902
Qtr3,2.745174633,6.950184805,5.913925776
Qtr4,3.395026182,6.694075591,5.868485549
2018,2.350447436,6.364804725,5.412571353
Qtr1,2.528684929,6.882242031,5.930228028
Qtr2,2.014627531,7.072186598,5.906781287
Qtr3,2.154822347,5.860913619,4.955637305
Qtr4,2.654321785,5.946894298,5.132005784
Grand Total,2.7699077,7.105507808,6.083579049
